ticker,name,market,region,currency,sector
A,Agilent Technologies,S&P 500,US,USD,Health Care
AAPL,Apple Inc.,S&P 500,US,USD,Information Technology
ABBV,AbbVie,S&P 500,US,USD,Health Care
ABNB,Airbnb,S&P 500,US,USD,Consumer Discretionary
ABT,Abbott Laboratories,S&P 500,US,USD,Health Care
ACGL,Arch Capital Group,S&P 500,US,USD,Financials
ACN,Accenture,S&P 500,US,USD,Information Technology
ADBE,Adobe Inc.,S&P 500,US,USD,Information Technology
ADI,Analog Devices,S&P 500,US,USD,Information Technology
ADM,Archer Daniels Midland,S&P 500,US,USD,Consumer Staples
ADP,Automatic Data Processing,S&P 500,US,USD,Industrials
ADSK,Autodesk,S&P 500,US,USD,Information Technology
AEE,Ameren,S&P 500,US,USD,Utilities
AEP,American Electric Power,S&P 500,US,USD,Utilities
AES,AES Corporation,S&P 500,US,USD,Utilities
AFL,Aflac,S&P 500,US,USD,Financials
AIG,American International Group,S&P 500,US,USD,Financials
AIZ,Assurant,S&P 500,US,USD,Financials
AJG,Arthur J. Gallagher & Co.,S&P 500,US,USD,Financials
AKAM,Akamai Technologies,S&P 500,US,USD,Information Technology
ALB,Albemarle Corporation,S&P 500,US,USD,Materials
ALGN,Align Technology,S&P 500,US,USD,Health Care
ALL,Allstate,S&P 500,US,USD,Financials
ALLE,Allegion,S&P 500,US,USD,Industrials
AMAT,Applied Materials,S&P 500,US,USD,Information Technology
AMCR,Amcor,S&P 500,US,USD,Materials
AMD,Advanced Micro Devices,S&P 500,US,USD,Information Technology
AME,Ametek,S&P 500,US,USD,Industrials
AMGN,Amgen,S&P 500,US,USD,Health Care
AMP,Ameriprise Financial,S&P 500,US,USD,Financials
AMT,American Tower,S&P 500,US,USD,Real Estate
AMZN,Amazon,S&P 500,US,USD,Consumer Discretionary
ANET,Arista Networks,S&P 500,US,USD,Information Technology
AON,Aon plc,S&P 500,US,USD,Financials
AOS,A. O. Smith,S&P 500,US,USD,Industrials
APA,APA Corporation,S&P 500,US,USD,Energy
APD,Air Products,S&P 500,US,USD,Materials
APH,Amphenol,S&P 500,US,USD,Information Technology
APO,Apollo Global Management,S&P 500,US,USD,Financials
APP,AppLovin,S&P 500,US,USD,Information Technology
APTV,Aptiv,S&P 500,US,USD,Consumer Discretionary
ARE,Alexandria Real Estate Equities,S&P 500,US,USD,Real Estate
ARES,Ares Management,S&P 500,US,USD,Financials
ATO,Atmos Energy,S&P 500,US,USD,Utilities
AVB,AvalonBay Communities,S&P 500,US,USD,Real Estate
AVGO,Broadcom,S&P 500,US,USD,Information Technology
AVY,Avery Dennison,S&P 500,US,USD,Materials
AWK,American Water Works,S&P 500,US,USD,Utilities
AXON,Axon Enterprise,S&P 500,US,USD,Industrials
AXP,American Express,S&P 500,US,USD,Financials
AZO,AutoZone,S&P 500,US,USD,Consumer Discretionary
BA,Boeing,S&P 500,US,USD,Industrials
BAC,Bank of America,S&P 500,US,USD,Financials
BALL,Ball Corporation,S&P 500,US,USD,Materials
BAX,Baxter International,S&P 500,US,USD,Health Care
BBY,Best Buy,S&P 500,US,USD,Consumer Discretionary
BDX,Becton Dickinson,S&P 500,US,USD,Health Care
BEN,Franklin Resources,S&P 500,US,USD,Financials
BF-B,Brown–Forman,S&P 500,US,USD,Consumer Staples
BG,Bunge Global,S&P 500,US,USD,Consumer Staples
BIIB,Biogen,S&P 500,US,USD,Health Care
BK,BNY Mellon,S&P 500,US,USD,Financials
BKNG,Booking Holdings,S&P 500,US,USD,Consumer Discretionary
BKR,Baker Hughes,S&P 500,US,USD,Energy
BLDR,Builders FirstSource,S&P 500,US,USD,Industrials
BLK,BlackRock,S&P 500,US,USD,Financials
BMY,Bristol Myers Squibb,S&P 500,US,USD,Health Care
BR,Broadridge Financial Solutions,S&P 500,US,USD,Industrials
BRK-B,Berkshire Hathaway,S&P 500,US,USD,Financials
BRO,Brown & Brown,S&P 500,US,USD,Financials
BSX,Boston Scientific,S&P 500,US,USD,Health Care
BX,Blackstone Inc.,S&P 500,US,USD,Financials
BXP,"BXP, Inc.",S&P 500,US,USD,Real Estate
C,Citigroup,S&P 500,US,USD,Financials
CAG,Conagra Brands,S&P 500,US,USD,Consumer Staples
CAH,Cardinal Health,S&P 500,US,USD,Health Care
CARR,Carrier Global,S&P 500,US,USD,Industrials
CASY,Casey's,S&P 500,US,USD,Consumer Staples
CAT,Caterpillar Inc.,S&P 500,US,USD,Industrials
CB,Chubb Limited,S&P 500,US,USD,Financials
CBOE,Cboe Global Markets,S&P 500,US,USD,Financials
CBRE,CBRE Group,S&P 500,US,USD,Real Estate
CCI,Crown Castle,S&P 500,US,USD,Real Estate
CCL,Carnival,S&P 500,US,USD,Consumer Discretionary
CDNS,Cadence Design Systems,S&P 500,US,USD,Information Technology
CDW,CDW Corporation,S&P 500,US,USD,Information Technology
CEG,Constellation Energy,S&P 500,US,USD,Utilities
CF,CF Industries,S&P 500,US,USD,Materials
CFG,Citizens Financial Group,S&P 500,US,USD,Financials
CHD,Church & Dwight,S&P 500,US,USD,Consumer Staples
CHRW,C.H. Robinson,S&P 500,US,USD,Industrials
CHTR,Charter Communications,S&P 500,US,USD,Communication Services
CI,Cigna,S&P 500,US,USD,Health Care
CIEN,Ciena,S&P 500,US,USD,Information Technology
CINF,Cincinnati Financial,S&P 500,US,USD,Financials
CL,Colgate-Palmolive,S&P 500,US,USD,Consumer Staples
CLX,Clorox,S&P 500,US,USD,Consumer Staples
CMCSA,Comcast,S&P 500,US,USD,Communication Services
CME,CME Group,S&P 500,US,USD,Financials
CMG,Chipotle Mexican Grill,S&P 500,US,USD,Consumer Discretionary
CMI,Cummins,S&P 500,US,USD,Industrials
CMS,CMS Energy,S&P 500,US,USD,Utilities
CNC,Centene Corporation,S&P 500,US,USD,Health Care
CNP,CenterPoint Energy,S&P 500,US,USD,Utilities
COF,Capital One,S&P 500,US,USD,Financials
COHR,Coherent Corp.,S&P 500,US,USD,Information Technology
COIN,Coinbase,S&P 500,US,USD,Financials
COO,Cooper Companies (The),S&P 500,US,USD,Health Care
COP,ConocoPhillips,S&P 500,US,USD,Energy
COR,Cencora,S&P 500,US,USD,Health Care
COST,Costco,S&P 500,US,USD,Consumer Staples
CPAY,Corpay,S&P 500,US,USD,Financials
CPB,Campbell's Company (The),S&P 500,US,USD,Consumer Staples
CPRT,Copart,S&P 500,US,USD,Industrials
CPT,Camden Property Trust,S&P 500,US,USD,Real Estate
CRH,CRH plc,S&P 500,US,USD,Materials
CRL,Charles River Laboratories,S&P 500,US,USD,Health Care
CRM,Salesforce,S&P 500,US,USD,Information Technology
CRWD,CrowdStrike,S&P 500,US,USD,Information Technology
CSCO,Cisco,S&P 500,US,USD,Information Technology
CSGP,CoStar Group,S&P 500,US,USD,Real Estate
CSX,CSX Corporation,S&P 500,US,USD,Industrials
CTAS,Cintas,S&P 500,US,USD,Industrials
CTRA,Coterra,S&P 500,US,USD,Energy
